2026-05-19 13:40:05 | INFO     | database.schema | 执行建表/扩展: CREATE EXTENSION IF NOT EXISTS vector;...
2026-05-19 13:40:05 | INFO     | database.schema | 执行建表/扩展: CREATE TABLE IF NOT EXISTS documents (
        id SERIA...
2026-05-19 13:40:05 | INFO     | database.schema | 执行建表/扩展: CREATE TABLE IF NOT EXISTS vector_st (
        id SERIA...
2026-05-19 13:40:05 | INFO     | database.schema | 执行建表/扩展: CREATE TABLE IF NOT EXISTS query_logs (
        id SERI...
2026-05-19 13:40:05 | INFO     | database.schema | 执行建表/扩展: CREATE TABLE IF NOT EXISTS users (
        id SERIAL PR...
2026-05-19 13:40:05 | INFO     | database.schema | 所有表创建完成
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_vector_embedding
    ON...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_documents_status ON documents...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_documents_field ON documents(...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_documents_number ON documents...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_vector_doc_id ON vector_st(do...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_query_logs_time ON query_logs...
2026-05-19 13:40:05 | INFO     | database.schema | 创建索引: CREATE INDEX IF NOT EXISTS idx_query_logs_type ON query_logs...
2026-05-19 13:40:05 | INFO     | database.schema | 所有索引创建完成
2026-05-19 13:40:05 | INFO     | database.schema | 默认用户 admin 创建成功
2026-05-19 13:40:05 | INFO     | database.schema | 数据库初始化完成
2026-05-19 13:41:11 | INFO     | auth.login | 用户登录成功: admin
2026-05-19 13:48:36 | INFO     | auth.login | 用户登录成功: admin
2026-05-19 14:00:06 | INFO     | auth.login | 用户登录成功: admin
2026-05-19 14:14:03 | INFO     | llm.client | LLM客户端初始化: https://dashscope.aliyuncs.com/compatible-mode/v1
2026-05-19 14:14:05 | INFO     | llm.client | LLM调用完成: 模型=qwen-plus, 输入长度≈11
2026-05-19 14:14:48 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5
2026-05-19 14:22:46 | ERROR    | embeddings.embedder | 嵌入模型加载失败: We couldn't connect to 'https://huggingface.co' to load the files, and couldn't find them in the cached files.
Check your internet connection or see how to run the library in offline mode at 'https://huggingface.co/docs/transformers/installation#offline-mode'.
2026-05-19 14:47:16 | INFO     | retrieval.hybrid_search | 语义检索: 舰艇消防系统的设计要求和验收标准是什么？...
2026-05-19 14:47:30 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5
2026-05-19 14:47:41 | ERROR    | embeddings.embedder | 嵌入模型加载失败: Cannot send a request, as the client has been closed.
2026-05-19 14:47:41 | ERROR    | __main__ | Chat error: Cannot send a request, as the client has been closed.
2026-05-19 14:55:31 | INFO     | retrieval.hybrid_search | 语义检索: 舰艇消防系统的设计要求和验收标准是什么？...
2026-05-19 14:55:45 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5
2026-05-19 14:57:59 | INFO     | embeddings.embedder | 正在加载嵌入模型: BAAI/bge-base-zh-v1.5
